threads,vertices,avg_total_ms,speedup,efficiency
1,1000,33.8700,1.0000,1.0000
2,1000,22.5550,1.5017,0.7508
4,1000,19.3100,1.7540,0.4385
8,1000,20.6600,1.6394,0.2049
1,5000,142.4800,1.0000,1.0000
2,5000,156.3500,0.9113,0.4556
4,5000,113.3750,1.2567,0.3142
8,5000,121.6550,1.1712,0.1464
1,10000,325.3450,1.0000,1.0000
2,10000,265.1450,1.2270,0.6135
4,10000,228.4250,1.4243,0.3561
8,10000,229.8550,1.4154,0.1769
1,20000,860.3450,1.0000,1.0000
2,20000,672.0700,1.2801,0.6401
4,20000,533.9100,1.6114,0.4029
8,20000,551.1100,1.5611,0.1951
