run,threads,vertices,edges,total_ms,accuracy,f1
1,1,1000,5988,31.77,0.77,0.76
2,1,1000,5988,36.04,0.77,0.76
1,2,1000,5988,29.61,0.77,0.76
2,2,1000,5988,81.14,0.77,0.76
1,4,1000,5988,29.54,0.77,0.76
2,4,1000,5988,22.90,0.77,0.76
1,8,1000,5988,51.66,0.77,0.76
2,8,1000,5988,21.16,0.77,0.76
1,1,5000,29988,151.15,0.81,0.79
2,1,5000,29988,153.13,0.81,0.79
1,2,5000,29988,123.52,0.81,0.79
2,2,5000,29988,121.17,0.81,0.79
1,4,5000,29988,99.90,0.81,0.79
2,4,5000,29988,104.48,0.81,0.79
1,8,5000,29988,101.73,0.81,0.79
2,8,5000,29988,96.50,0.81,0.79
1,1,10000,59988,328.17,0.81,0.80
2,1,10000,59988,304.78,0.81,0.80
1,2,10000,59988,254.64,0.81,0.80
2,2,10000,59988,249.25,0.81,0.80
1,4,10000,59988,213.47,0.81,0.80
2,4,10000,59988,219.22,0.81,0.80
1,8,10000,59988,228.13,0.81,0.80
2,8,10000,59988,275.72,0.81,0.80
1,1,20000,119988,755.24,0.82,0.81
2,1,20000,119988,715.73,0.82,0.81
1,2,20000,119988,590.06,0.82,0.81
2,2,20000,119988,600.05,0.82,0.81
1,4,20000,119988,509.51,0.82,0.81
2,4,20000,119988,522.65,0.82,0.81
1,8,20000,119988,664.51,0.82,0.81
2,8,20000,119988,564.65,0.82,0.81
