run,threads,vertices,edges,total_ms,accuracy,f1
1,1,1000,5988,35.97,0.77,0.76
2,1,1000,5988,31.77,0.77,0.76
1,2,1000,5988,23.09,0.77,0.76
2,2,1000,5988,22.02,0.77,0.76
1,4,1000,5988,20.41,0.77,0.76
2,4,1000,5988,18.21,0.77,0.76
1,8,1000,5988,22.45,0.77,0.76
2,8,1000,5988,18.87,0.77,0.76
1,1,5000,29988,139.48,0.81,0.79
2,1,5000,29988,145.48,0.81,0.79
1,2,5000,29988,117.13,0.81,0.79
2,2,5000,29988,195.57,0.81,0.79
1,4,5000,29988,120.15,0.81,0.79
2,4,5000,29988,106.60,0.81,0.79
1,8,5000,29988,107.78,0.81,0.79
2,8,5000,29988,135.53,0.81,0.79
1,1,10000,59988,354.09,0.81,0.80
2,1,10000,59988,296.60,0.81,0.80
1,2,10000,59988,279.89,0.81,0.80
2,2,10000,59988,250.40,0.81,0.80
1,4,10000,59988,229.83,0.81,0.80
2,4,10000,59988,227.02,0.81,0.80
1,8,10000,59988,223.45,0.81,0.80
2,8,10000,59988,236.26,0.81,0.80
1,1,20000,119988,927.00,0.82,0.81
2,1,20000,119988,793.69,0.82,0.81
1,2,20000,119988,724.61,0.82,0.81
2,2,20000,119988,619.53,0.82,0.81
1,4,20000,119988,520.17,0.82,0.81
2,4,20000,119988,547.65,0.82,0.81
1,8,20000,119988,557.91,0.82,0.81
2,8,20000,119988,544.31,0.82,0.81
