threads,vertices,edges,avg_total_ms,best_total_ms,avg_accuracy,avg_f1,throughput_edges_per_ms
1,1000,5988,33.9050,31.7700,0.7700,0.7600,176.611119
2,1000,5988,55.3750,29.6100,0.7700,0.7600,108.135440
4,1000,5988,26.2200,22.9000,0.7700,0.7600,228.375286
8,1000,5988,36.4100,21.1600,0.7700,0.7600,164.460313
1,5000,29988,152.1400,151.1500,0.8100,0.7900,197.107927
2,5000,29988,122.3450,121.1700,0.8100,0.7900,245.110139
4,5000,29988,102.1900,99.9000,0.8100,0.7900,293.453371
8,5000,29988,99.1150,96.5000,0.8100,0.7900,302.557635
1,10000,59988,316.4750,304.7800,0.8100,0.8000,189.550517
2,10000,59988,251.9450,249.2500,0.8100,0.8000,238.099585
4,10000,59988,216.3450,213.4700,0.8100,0.8000,277.279345
8,10000,59988,251.9250,228.1300,0.8100,0.8000,238.118488
1,20000,119988,735.4850,715.7300,0.8200,0.8100,163.141329
2,20000,119988,595.0550,590.0600,0.8200,0.8100,201.641865
4,20000,119988,516.0800,509.5100,0.8200,0.8100,232.498837
8,20000,119988,614.5800,564.6500,0.8200,0.8100,195.235771
